id;macrorregiao;grupo;mantenedor;cultivar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;1;GRUPO II;GDM GENETICA DO BRASIL;7166 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;2;GRUPO II;GDM GENETICA DO BRASIL;7869 RSF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;2;GRUPO I;GDM GENETICA DO BRASIL;95R90 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;1;GRUPO II;GDM GENETICA DO BRASIL;ADV 4317 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;2;GRUPO I;GDM GENETICA DO BRASIL;AFS 110 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;1;GRUPO II;GDM GENETICA DO BRASIL;BALU 3711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;2;GRUPO I;GDM GENETICA DO BRASIL;BMX FORÇA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;1;GRUPO II;GDM GENETICA DO BRASIL;BMX POTÊNCIA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;2;GRUPO I;GDM GENETICA DO BRASIL;BMX TITAN RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;2;GRUPO I;GDM GENETICA DO BRASIL;BMX TURBO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;2;GRUPO I;GDM GENETICA DO BRASIL;DMARIO 58I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;2;GRUPO I;GDM GENETICA DO BRASIL;DMARIO 70I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;2;GRUPO I;GDM GENETICA DO BRASIL;DON MARIO 5.9I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;2;GRUPO I;GDM GENETICA DO BRASIL;DS 6217 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;2;GRUPO I;GDM GENETICA DO BRASIL;FPS 1755 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;1;GRUPO II;GDM GENETICA DO BRASIL;FPS 1867 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;1;GRUPO II;GDM GENETICA DO BRASIL;FPS ANTARES RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;2;GRUPO I;GDM GENETICA DO BRASIL;FPS ATALANTA IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;2;GRUPO I;GDM GENETICA DO BRASIL;FPS JÚPITER RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
